"id","smiles"
34115,CCCC[N+](C)(CCO)CCO
9390,O=C1NC(=O)c2c1cccc2[N+](=O)[O-]
39042,CCCCCCCCCCCCSCC(C[n+]1ccn(C)c1)SCCCCCCCCCCCC
36020,C1CCC(SCCC[N+](CCCSC2CCCCC2)(CCCSC2CCCCC2)CCCSC2CCCCC2)CC1
20182,FC(F)(F)Oc1ccc([Hg+])cc1
20143,CC(C)C(=O)[O-]
38913,[NH3+]CCCCCCCCCCc1ccccc1
38084,CC=NNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
37625,CCCCCCCCCCCCC[NH3+]
1832,[O-][n+]1onc2cc(Cl)ccc21
19430,CCCCCCCCCCn1cc[n+](C)c1
37921,C[N+](C)(CCO)CCC(=O)[O-]
22483,N#CCCN(CCC#N)[N+](=O)[O-]
36837,Cn1cc[n+](Cc2ccc(C[n+]3ccn(C)c3)cc2)c1
38718,O=C([O-])C=Cc1ccc(O)c(O)c1
10608,O=[N+]([O-])C1CN(C(c2ccccc2)c2ccccc2)C1
20364,CCCC[P+](CCCC)(c1ccccc1)c1ccccc1
40933,CCCC[NH+](C)C
35532,CC(C)CC(C)(C)CP(=O)([O-])CC(C)(C)CC(C)C
30396,CCCn1cc[n+](CCC)c1
10148,[N-]=[N+]=Nc1n[nH]c(N=[N+]=[N-])n1
3024,CC(C)(C(O)c1ccccc1)[N+](=O)[O-]
24843,CCCCCCCCc1ccc(S(=O)(=O)[O-])cc1
5292,O=C(Oc1ccc([N+](=O)[O-])cc1)C(F)(F)F
41113,CC[C@H](C)[C@H](N[c+]1c(N(CC)CC)c1N(CC)CC)C(=O)O
26515,N#CCN=[N+]=[N-]
15552,CCc1cc([N+](=O)[O-])ccc1C(=O)O
30370,CCCCC[n+]1csc2ccccc21
35124,C1CC[NH2+]CC1
22488,O=[N+]([O-])C(CO)(c1cc(C(CO)([N+](=O)[O-])[N+](=O)[O-])cc(C(CO)([N+](=O)[O-])[N+](=O)[O-])c1)[N+](=O)[O-]
15700,COC(=O)CCC(C)([N+](=O)[O-])[N+](=O)[O-]
4657,COc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-]
35731,CCc1[nH]cc[n+]1CCCS(=O)(=O)O
20148,CCCC[P+](C)(CCCC)CCCC
36236,CCCCCCCCC(CCCCCC)C(=O)[O-]
9370,NC(=O)N[N+](=O)[O-]
34098,O=[Mo]([O-])([O-])([O-])[O-]
20462,C[n+]1ccn(CCCn2cc[n+](C)c2)c1
37721,CCCCCCCCc1ccc(C)[cH-]1
40244,COc1ccc(-c2ccc(C=O)o2)c([N+](=O)[O-])c1
33579,CCCCCCCC[NH+](CCO)CC(C)O
31531,O=C([O-])CNC(CO)(CO)CO
40304,CCC(CC)C(=O)[O-]
6530,Nc1c(Cl)cc([N+](=O)[O-])cc1Cl
35494,C[N+]1(Cc2ccccc2)CCCC1
26836,CCS(=O)(=O)[O-]
9755,O=[N+]([O-])c1cc([N+](=O)[O-])c(CCl)c([N+](=O)[O-])c1
20215,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC
36103,O=C1CCCC2=C1C(c1ccc([N+](=O)[O-])cc1)n1ncnc1N2Cc1ccccc1
40663,NC1=C(S(=O)(=O)c2ccccc2)C(c2cccc([N+](=O)[O-])c2)c2c(c3ccccc3c3nc4ccccc4nc23)O1
25171,O=C([O-])[C@@H](O)[C@H](O)C(=O)[O-]
40526,[CH+]=C
36648,CCCCCCCCCCCCCC[N+]1(C)CCCCC1
29553,C[n+]1ccn(Cc2ccc3ccccc3c2)c1
33520,[C-]#[N+]C1CC1
23216,[N-]=[N+]=NC1=N[NH2+]C(N=[N+]=[N-])=N1
7128,CC(C)(C)/[N+]([O-])=C/c1ccc([N+](=O)[O-])cc1
35765,O=C(O)Cc1ccc([N+](=O)[O-])cc1
29784,CCCCCCCCCCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC
253,O=[N+][O-]
3447,CC(=O)NNC(=N)N[N+](=O)[O-]
6162,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O
16046,CCOC(=O)N(CC(C)C)[N+](=O)[O-]
29155,[Rh+3]
24645,CCCCN(CCO[N+](=O)[O-])[N+](=O)[O-]
20260,[Yb+3]
10357,[N-]=[N+]1C2([N+](=O)[O-])CC3([N+](=O)[O-])CC([N+](=O)[O-])(C2)CC1([N+](=O)[O-])C3
36297,CCCCCCCCCCCCCCCCCC[N+](C)(C)[O-]
32551,COCn1cc[n+](C)c1C
32544,CCC=C[P+](CC)(CC)CC
36183,Cn1c2c(c(=O)n(C)c1=O)C(c1ccccc1[N+](=O)[O-])C1=C(CC(C)(C)CC1=O)N2
6538,O=Cc1cccc([N+](=O)[O-])c1
24588,O=[N+]([O-])C12CC3CC(CC(C3)C1)C2
5701,[O-][Cl+3]([O-])([O-])O
33133,CCc1nnc(NC(=O)c2ccc([N+](=O)[O-])cc2)s1
29598,N#CCC(=O)[O-]
40384,CCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCCCCCCCC
36468,Cc1n[nH]c(/N=N/c2c(C)[nH]c3ccccc23)c1/N=N/c1ccc([N+](=O)[O-])cc1
32500,CCCC[S+]1CCCCC1
20357,CCc1ccc(S(=O)(=O)[O-])cc1
32752,CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1
25169,C[C@H](N)C(=O)[O-]
24741,C[NH+](CCO)CCO
19232,CCCC=C(CC)[N+](=O)[O-]
39799,Cn1cc[n+](CC(O)CNCCN(CCNCC(O)C[n+]2ccn(C)c2)CC(O)C[n+]2ccn(C)c2)c1
40448,CCCCCCCCCCCCCCCCOC(=O)CC(O)C[N+](C)(C)C
29940,CCCCC[N+]1(C)CCCCC1
9666,O=[N+]([O-])c1ccc(Nc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1
26245,O=[N+]([O-])[C@H]1C[C@@H]([N+](=O)[O-])C1
10596,O=[N+]([O-])C1CC2(C1)C([N+](=O)[O-])C1(CC([N+](=O)[O-])C1)C2[N+](=O)[O-]
9457,Nc1ccc([N+](=O)[O-])c(Cl)c1
23595,C1CCC[NH2+]CC1
34789,F[Th-2](F)(F)(F)(F)F
36079,Br[Ho-3](Br)(Br)(Br)(Br)Br
5755,CC(C)(CO)[N+](=O)[O-]
38877,[O-][Ti]([O-])([O-])O[Ti]([O-])([O-])[O-]
9842,CCCCNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
38566,O=[Re-](=O)(=O)=O
21413,CN(CCN(C)[N+](=O)[O-])[N+](=O)[O-]
11259,[N-]=[N+]=C1C=CC=C1
24754,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)[O-]
19411,COCCOS(=O)(=O)[O-]
30564,O=[N+]([O-])c1ccc(NN=Cc2ccco2)c([N+](=O)[O-])c1
35352,CC([NH3+])C12CC3CC(CC(C3)C1)C2
33138,NC(=O)CC[C@H]([NH3+])C(=O)O
10397,O=[N+]([O-])c1ccc2c([N+](=O)[O-])ccc([N+](=O)[O-])c2c1
33361,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)[O-]
34105,Cl[Pb-](Cl)Cl
7855,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21
26602,CCC(=O)Nc1cc(N(CC)CC)ccc1N=Nc1c(Br)cc([N+](=O)[O-])cc1C#N
15441,CCCCCCCCOc1ccc(N=Cc2ccc([N+](=O)[O-])cc2)cc1
9391,O=Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-]
30570,[O-]n1nnnc1-c1nnnn1[O-]
18811,CCCCCCCCCCOc1ccc(N=Cc2ccc([N+](=O)[O-])cc2)cc1
29799,CCCC[n+]1c(C)c(C)n(C)c1C
1186,[2H]C([2H])([2H])[N+](=O)[O-]
29624,O=[N+]([O-])c1ccc(NS(=O)(=O)c2ccccc2)cc1
6170,COc1ccc(C(=O)O)cc1[N+](=O)[O-]
22365,Cc1c([N+](=O)[O-])cc2no[n+]([O-])c2c1[N+](=O)[O-]
4475,Cc1c(N)cc([N+](=O)[O-])cc1N
28201,O=C(/C=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)c1cccc([N+](=O)[O-])c1
35898,C=CC[N+](C)(C)CC[n+]1ccn(C)c1
30397,CCCCCCCCn1cc[n+](CCCCCCCC)c1
39558,O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2nnc(-c3nnc(-c4c([N+](=O)[O-])cc([N+](=O)[O-])cc4[N+](=O)[O-])o3)o2)c([N+](=O)[O-])c1
31310,CCCC[n+]1c(C)cc(C)n1-c1ccccc1
34185,O=[N+]([O-])C1CC12CCC2
41188,CC([NH3+])c1ccccc1
26257,Cc1cnc([N-]C(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1
23520,CCCCCC[NH2+]CCCCCC
25765,[CH2][N+](=O)[O-]
32826,C[C@@H]([NH3+])C1CCCCC1
39784,CCCCCCCCCCCCCC[N+](C)(C)CC(=O)OCCCOC(=O)C[N+](C)(C)CCCCCCCCCCCCCC
31544,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC
38988,CCOC(=O)C(N=[N+]=[N-])(N=[N+]=[N-])C(=O)OCC
25392,C[C@H](Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])C(=O)O
